14. 1. 20 오후 9:59
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	
Total:           	  108827	754411	                    3422602	                      3749013	
Remaining:       	   40021	448310	                    1519071	                      1618970	
Unique:          	   76896	616182	                    2794138	                      3068049	
Unique Remaining:	   33102	381432	                    1293155	                      1379103	


Individual File Statistics:

File Name                                                                                                   	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
rubydoc/refm/api/src/_builtin/Enumerable                                                                    	           668	                64	            517	                       62	       5537	            869	        4962	                   832	                            20929	                                 2335	                             19035	                                        2261	                              24157	                                   2443	                               22038	                                          2366	
rubydoc/refm/api/src/_builtin/Enumerable__Enumerator                                                        	             6	                 0	              5	                        0	         27	              0	          26	                     0	                              163	                                    0	                               158	                                           0	                                172	                                      0	                                 167	                                             0	
rubydoc/refm/api/src/_builtin/Enumerator                                                                    	             3	                 0	              1	                        0	          7	              0	           3	                     0	                               68	                                    0	                                23	                                           0	                                 73	                                      0	                                  27	                                             0	
rubydoc/refm/api/src/_builtin/Enumerator__Lazy                                                              	           140	                49	            106	                       45	       1032	            646	         923	                   602	                             4715	                                 2251	                              4276	                                        2093	                               5122	                                   2369	                                4649	                                          2202	
rubydoc/refm/api/src/_builtin/Enumerator.inside                                                             	           269	                 3	            182	                        3	       1672	             44	        1479	                    44	                             6917	                                  165	                              6032	                                         165	                               7922	                                    176	                                6922	                                           176	
rubydoc/refm/api/src/_builtin/ENV                                                                           	           159	                90	            126	                       79	       1288	            979	        1187	                   931	                             5033	                                 2949	                              4616	                                        2767	                               5758	                                   3309	                                5308	                                          3112	
rubydoc/refm/api/src/_builtin/EOFError                                                                      	             2	                 1	              2	                        1	         12	              9	          12	                     9	                               49	                                   27	                                49	                                          27	                                 55	                                     29	                                  55	                                            29	
rubydoc/refm/api/src/_builtin/Exception                                                                     	            51	                17	             36	                       16	        292	            172	         249	                   162	                             1319	                                  561	                              1147	                                         521	                               1497	                                    594	                                1311	                                           552	
rubydoc/refm/api/src/_builtin/FalseClass                                                                    	            49	                 7	             46	                        7	        284	             79	         264	                    79	                             1097	                                  225	                              1038	                                         225	                               1390	                                    248	                                1321	                                           248	
rubydoc/refm/api/src/_builtin/fatal                                                                         	             9	                 7	              9	                        7	         84	             65	          84	                    65	                              353	                                  193	                               353	                                         193	                                415	                                    203	                                 415	                                           203	
rubydoc/refm/api/src/_builtin/Fiber                                                                         	           122	                10	             87	                       10	        755	            160	         700	                   160	                             2518	                                  413	                              2301	                                         413	                               2719	                                    431	                                2472	                                           431	
rubydoc/refm/api/src/_builtin/File                                                                          	           552	               176	            425	                      145	       4321	           1889	        3271	                  1543	                            16854	                                 5530	                             13591	                                        4564	                              18792	                                   5854	                               15261	                                          4796	
rubydoc/refm/api/src/_builtin/File__Constants                                                               	            87	                75	             54	                       52	        736	            712	         585	                   578	                             3053	                                 2926	                              2387	                                        2339	                               3228	                                   3095	                                2554	                                          2501	
rubydoc/refm/api/src/_builtin/File__Stat                                                                    	           327	                99	            222	                       98	       1540	            883	        1357	                   879	                             7113	                                 3179	                              6183	                                        3162	                               7931	                                   3590	                                6920	                                          3573	
rubydoc/refm/api/src/_builtin/FileTest                                                                      	           142	                91	             76	                       37	       1561	           1350	         672	                   526	                             5077	                                 3769	                              2452	                                        1379	                               5642	                                   4030	                                2728	                                          1444	
rubydoc/refm/api/src/_builtin/Fixnum                                                                        	           182	                20	             52	                       10	       1145	            251	         416	                   145	                             4169	                                  702	                              1578	                                         428	                               4770	                                    743	                                1807	                                           453	
rubydoc/refm/api/src/_builtin/Float                                                                         	           340	                79	            242	                       77	       1741	            710	        1364	                   694	                             7051	                                 2021	                              5747	                                        1967	                               8256	                                   2257	                                6726	                                          2198	
rubydoc/refm/api/src/_builtin/FloatDomainError                                                              	             4	                 3	              4	                        3	         37	             34	          37	                    34	                              140	                                  107	                               140	                                         107	                                158	                                    121	                                 158	                                           121	
rubydoc/refm/api/src/_builtin/functions                                                                     	          1692	               554	           1311	                      490	      13079	           6805	       11501	                  6198	                            50862	                                20567	                             45195	                                       18748	                              56053	                                  21870	                               49848	                                         19962	
rubydoc/refm/api/src/_builtin/GC                                                                            	            54	                 0	             45	                        0	        281	              0	         243	                     0	                             1207	                                    0	                              1063	                                           0	                               1323	                                      0	                                1170	                                             0	
rubydoc/refm/api/src/_builtin/GC__Profiler                                                                  	           113	                 5	             86	                        5	        554	             52	         513	                    52	                             2696	                                  149	                              2414	                                         149	                               3248	                                    158	                                2957	                                           158	
rubydoc/refm/api/src/_builtin/Hash                                                                          	           697	               151	            565	                      134	       5544	           2144	        4922	                  1911	                            21871	                                 5850	                             19498	                                        5212	                              25329	                                   6136	                               22528	                                          5472	
rubydoc/refm/api/src/_builtin/IndexError                                                                    	             2	                 1	              2	                        1	          9	              6	           9	                     6	                               46	                                   16	                                46	                                          16	                                 50	                                     16	                                  50	                                            16	
rubydoc/refm/api/src/_builtin/Integer                                                                       	           146	                 5	            118	                        5	       1002	             79	         900	                    79	                             4228	                                  262	                              3815	                                         262	                               4988	                                    293	                                4534	                                           293	
